g_hash,initial_alias,initial_ensg,o_hash,ortholog_name,ortholog_ensg,description,component
32,IL3,ENSMUSG00000018914,32.1.1,IL3,ENSG00000164399,interleukin 3 [Source:HGNC Symbol;Acc:HGNC:6011],B_cell_apoptotic_process
33,IL10,ENSMUSG00000016529,33.1.1,IL10,ENSG00000136634,interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962],B_cell_apoptotic_process
34,IL21,ENSMUSG00000027718,34.1.1,IL21,ENSG00000138684,interleukin 21 [Source:HGNC Symbol;Acc:HGNC:6005],B_cell_apoptotic_process
35,IRS2,ENSMUSG00000038894,35.1.1,IRS2,ENSG00000185950,insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126],B_cell_apoptotic_process
36,LYN,ENSMUSG00000042228,36.1.1,LYN,ENSG00000254087,"LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]",B_cell_apoptotic_process
37,LYN,ENSMUSG00000042228,37.1.1,LYN,ENSG00000254087,"LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]",B_cell_apoptotic_process
38,MIF,ENSMUSG00000033307,38.1.1,MIF,ENSG00000240972,macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097],B_cell_apoptotic_process
39,MIR17,ENSMUSG00000065508,39.1.1,MIR17,ENSG00000284536,microRNA 17 [Source:HGNC Symbol;Acc:HGNC:31547],B_cell_apoptotic_process
40,MIR17,ENSMUSG00000065508,40.1.1,MIR17,ENSG00000284536,microRNA 17 [Source:HGNC Symbol;Acc:HGNC:31547],B_cell_apoptotic_process
41,MIR17,ENSMUSG00000065508,41.1.1,MIR17,ENSG00000284536,microRNA 17 [Source:HGNC Symbol;Acc:HGNC:31547],B_cell_apoptotic_process
42,MIR17,ENSMUSG00000065508,42.1.1,MIR17,ENSG00000284536,microRNA 17 [Source:HGNC Symbol;Acc:HGNC:31547],B_cell_apoptotic_process
43,MIR17,ENSMUSG00000065508,43.1.1,MIR17,ENSG00000284536,microRNA 17 [Source:HGNC Symbol;Acc:HGNC:31547],B_cell_apoptotic_process
44,MIR18,ENSMUSG00000065403,44.1.1,MIR18A,ENSG00000283815,microRNA 18a [Source:HGNC Symbol;Acc:HGNC:31548],B_cell_apoptotic_process
45,MIR18,ENSMUSG00000065403,45.1.1,MIR18A,ENSG00000283815,microRNA 18a [Source:HGNC Symbol;Acc:HGNC:31548],B_cell_apoptotic_process
46,MIR18,ENSMUSG00000065403,46.1.1,MIR18A,ENSG00000283815,microRNA 18a [Source:HGNC Symbol;Acc:HGNC:31548],B_cell_apoptotic_process
47,MIR18,ENSMUSG00000065403,47.1.1,MIR18A,ENSG00000283815,microRNA 18a [Source:HGNC Symbol;Acc:HGNC:31548],B_cell_apoptotic_process
48,MIR18,ENSMUSG00000065403,48.1.1,MIR18A,ENSG00000283815,microRNA 18a [Source:HGNC Symbol;Acc:HGNC:31548],B_cell_apoptotic_process
49,MIR18B,ENSMUSG00000077111,49.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
50,MIR18B,ENSMUSG00000077111,50.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
51,MIR18B,ENSMUSG00000077111,51.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
52,MIR18B,ENSMUSG00000077111,52.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
53,MIR18B,ENSMUSG00000077111,53.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
54,MIR18B,ENSMUSG00000077111,54.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
55,MIR18B,ENSMUSG00000077111,55.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
56,MIR18B,ENSMUSG00000077111,56.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
57,MIR18B,ENSMUSG00000077111,57.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
58,MIR18B,ENSMUSG00000077111,58.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
59,MIR18B,ENSMUSG00000077111,59.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
60,MIR18B,ENSMUSG00000077111,60.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
61,MIR18B,ENSMUSG00000077111,61.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
62,MIR18B,ENSMUSG00000077111,62.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
63,MIR18B,ENSMUSG00000077111,63.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
64,MIR18B,ENSMUSG00000077111,64.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
65,MIR18B,ENSMUSG00000077111,65.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
66,MIR18B,ENSMUSG00000077111,66.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
67,MIR18B,ENSMUSG00000077111,67.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
68,MIR18B,ENSMUSG00000077111,68.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
69,MIR18B,ENSMUSG00000077111,69.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
70,MIR18B,ENSMUSG00000077111,70.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
71,MIR18B,ENSMUSG00000077111,71.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
72,MIR18B,ENSMUSG00000077111,72.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
73,MIR18B,ENSMUSG00000077111,73.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
74,MIR18B,ENSMUSG00000077111,74.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
75,MIR18B,ENSMUSG00000077111,75.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
76,MIR18B,ENSMUSG00000077111,76.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
77,MIR19A,ENSMUSG00000065416,77.1.1,MIR19A,ENSG00000284204,microRNA 19a [Source:HGNC Symbol;Acc:HGNC:31574],B_cell_apoptotic_process
78,MIR19A,ENSMUSG00000065416,78.1.1,MIR19A,ENSG00000284204,microRNA 19a [Source:HGNC Symbol;Acc:HGNC:31574],B_cell_apoptotic_process
79,MIR19A,ENSMUSG00000065416,79.1.1,MIR19A,ENSG00000284204,microRNA 19a [Source:HGNC Symbol;Acc:HGNC:31574],B_cell_apoptotic_process
80,MIR19A,ENSMUSG00000065416,80.1.1,MIR19A,ENSG00000284204,microRNA 19a [Source:HGNC Symbol;Acc:HGNC:31574],B_cell_apoptotic_process
81,MIR19A,ENSMUSG00000065416,81.1.1,MIR19A,ENSG00000284204,microRNA 19a [Source:HGNC Symbol;Acc:HGNC:31574],B_cell_apoptotic_process
82,MIR19B-1,ENSMUSG00000076256,82.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
83,MIR19B-1,ENSMUSG00000076256,83.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
84,MIR19B-1,ENSMUSG00000076256,84.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
85,MIR19B-1,ENSMUSG00000076256,85.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
86,MIR19B-1,ENSMUSG00000076256,86.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
87,MIR19B-1,ENSMUSG00000076256,87.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
88,MIR19B-1,ENSMUSG00000076256,88.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
89,MIR19B-1,ENSMUSG00000076256,89.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
90,MIR19B-1,ENSMUSG00000076256,90.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
91,MIR19B-1,ENSMUSG00000076256,91.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
92,MIR19B-1,ENSMUSG00000076256,92.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
93,MIR19B-1,ENSMUSG00000076256,93.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
94,MIR19B-1,ENSMUSG00000076256,94.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
95,MIR19B-1,ENSMUSG00000076256,95.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
96,MIR19B-1,ENSMUSG00000076256,96.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
97,MIR19B-1,ENSMUSG00000076256,97.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
98,MIR19B-1,ENSMUSG00000076256,98.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
99,MIR19B-1,ENSMUSG00000076256,99.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
100,MIR19B-1,ENSMUSG00000076256,100.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
101,MIR19B-1,ENSMUSG00000076256,101.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
102,MIR19B-1,ENSMUSG00000076256,102.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
103,MIR19B-1,ENSMUSG00000076256,103.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
104,MIR19B-1,ENSMUSG00000076256,104.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
105,MIR19B-1,ENSMUSG00000076256,105.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
106,MIR19B-1,ENSMUSG00000076256,106.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
107,MIR19B-1,ENSMUSG00000076256,107.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
108,MIR19B-1,ENSMUSG00000076256,108.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
109,MIR19B-1,ENSMUSG00000076256,109.1.1,MIR19B1,ENSG00000284375,microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575],B_cell_apoptotic_process
110,MIR19B-2,ENSMUSG00000065473,110.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
111,MIR19B-2,ENSMUSG00000065473,111.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
112,MIR19B-2,ENSMUSG00000065473,112.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
113,MIR19B-2,ENSMUSG00000065473,113.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
114,MIR19B-2,ENSMUSG00000065473,114.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
115,MIR19B-2,ENSMUSG00000065473,115.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
116,MIR19B-2,ENSMUSG00000065473,116.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
117,MIR19B-2,ENSMUSG00000065473,117.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
118,MIR19B-2,ENSMUSG00000065473,118.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
119,MIR19B-2,ENSMUSG00000065473,119.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
120,MIR19B-2,ENSMUSG00000065473,120.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
121,MIR19B-2,ENSMUSG00000065473,121.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
122,MIR19B-2,ENSMUSG00000065473,122.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
123,MIR19B-2,ENSMUSG00000065473,123.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
124,MIR19B-2,ENSMUSG00000065473,124.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
125,MIR19B-2,ENSMUSG00000065473,125.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
126,MIR19B-2,ENSMUSG00000065473,126.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
127,MIR19B-2,ENSMUSG00000065473,127.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
128,MIR19B-2,ENSMUSG00000065473,128.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
129,MIR19B-2,ENSMUSG00000065473,129.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
130,MIR19B-2,ENSMUSG00000065473,130.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
131,MIR19B-2,ENSMUSG00000065473,131.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
132,MIR19B-2,ENSMUSG00000065473,132.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
133,MIR19B-2,ENSMUSG00000065473,133.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
134,MIR19B-2,ENSMUSG00000065473,134.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
135,MIR19B-2,ENSMUSG00000065473,135.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
136,MIR19B-2,ENSMUSG00000065473,136.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
137,MIR19B-2,ENSMUSG00000065473,137.1.1,MIR19B2,ENSG00000284107,microRNA 19b-2 [Source:HGNC Symbol;Acc:HGNC:31576],B_cell_apoptotic_process
138,MIR20A,ENSMUSG00000065442,138.1.1,MIR20A,ENSG00000283762,microRNA 20a [Source:HGNC Symbol;Acc:HGNC:31577],B_cell_apoptotic_process
139,MIR20A,ENSMUSG00000065442,139.1.1,MIR20A,ENSG00000283762,microRNA 20a [Source:HGNC Symbol;Acc:HGNC:31577],B_cell_apoptotic_process
140,MIR20A,ENSMUSG00000065442,140.1.1,MIR20A,ENSG00000283762,microRNA 20a [Source:HGNC Symbol;Acc:HGNC:31577],B_cell_apoptotic_process
141,MIR20A,ENSMUSG00000065442,141.1.1,MIR20A,ENSG00000283762,microRNA 20a [Source:HGNC Symbol;Acc:HGNC:31577],B_cell_apoptotic_process
142,MIR20A,ENSMUSG00000065442,142.1.1,MIR20A,ENSG00000283762,microRNA 20a [Source:HGNC Symbol;Acc:HGNC:31577],B_cell_apoptotic_process
143,MIR20B,ENSMUSG00000076041,143.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
144,MIR20B,ENSMUSG00000076041,144.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
145,MIR20B,ENSMUSG00000076041,145.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
146,MIR20B,ENSMUSG00000076041,146.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
147,MIR20B,ENSMUSG00000076041,147.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
148,MIR20B,ENSMUSG00000076041,148.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
149,MIR20B,ENSMUSG00000076041,149.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
150,MIR20B,ENSMUSG00000076041,150.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
151,MIR20B,ENSMUSG00000076041,151.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
152,MIR20B,ENSMUSG00000076041,152.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
153,MIR20B,ENSMUSG00000076041,153.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
154,MIR20B,ENSMUSG00000076041,154.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
155,MIR20B,ENSMUSG00000076041,155.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
156,MIR20B,ENSMUSG00000076041,156.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
157,MIR20B,ENSMUSG00000076041,157.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
158,MIR20B,ENSMUSG00000076041,158.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
159,MIR20B,ENSMUSG00000076041,159.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
160,MIR20B,ENSMUSG00000076041,160.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
161,MIR20B,ENSMUSG00000076041,161.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
162,MIR20B,ENSMUSG00000076041,162.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
163,MIR20B,ENSMUSG00000076041,163.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
164,MIR20B,ENSMUSG00000076041,164.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
165,MIR20B,ENSMUSG00000076041,165.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
166,MIR20B,ENSMUSG00000076041,166.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
167,MIR20B,ENSMUSG00000076041,167.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
168,MIR20B,ENSMUSG00000076041,168.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
169,MIR20B,ENSMUSG00000076041,169.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
170,MIR20B,ENSMUSG00000076041,170.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
171,MIR25,ENSMUSG00000065394,171.1.1,MIR25,ENSG00000207547,microRNA 25 [Source:HGNC Symbol;Acc:HGNC:31609],B_cell_apoptotic_process
172,MIR25,ENSMUSG00000065394,172.1.1,MIR25,ENSG00000207547,microRNA 25 [Source:HGNC Symbol;Acc:HGNC:31609],B_cell_apoptotic_process
173,MIR92-1,ENSMUSG00000076062,173.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
174,MIR92-1,ENSMUSG00000076062,174.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
175,MIR92-1,ENSMUSG00000076062,175.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
176,MIR92-1,ENSMUSG00000076062,176.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
177,MIR92-1,ENSMUSG00000076062,177.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
178,MIR92-1,ENSMUSG00000076062,178.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
179,MIR92-1,ENSMUSG00000076062,179.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
180,MIR92-1,ENSMUSG00000076062,180.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
181,MIR92-1,ENSMUSG00000076062,181.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
182,MIR92-1,ENSMUSG00000076062,182.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
183,MIR92-2,ENSMUSG00000065613,183.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
184,MIR92-2,ENSMUSG00000065613,184.1.1,N/A,N/A,N/A,B_cell_apoptotic_process
