g_hash,initial_alias,initial_ensg,o_hash,ortholog_name,ortholog_ensg,description,component
17,CD40,ENSMUSG00000017652,17.1.1,CD40,ENSG00000101017,CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919],endothelial_cell_apoptotic_process
18,CD40,ENSMUSG00000017652,18.1.1,CD40,ENSG00000101017,CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919],endothelial_cell_apoptotic_process
19,CD40LG,ENSMUSG00000031132,19.1.1,CD40LG,ENSG00000102245,CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935],endothelial_cell_apoptotic_process
20,CD160,ENSMUSG00000038304,20.1.1,CD160,ENSG00000117281,CD160 molecule [Source:HGNC Symbol;Acc:HGNC:17013],endothelial_cell_apoptotic_process
21,CD248,ENSMUSG00000056481,21.1.1,CD248,ENSG00000174807,CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219],endothelial_cell_apoptotic_process
22,CD248,ENSMUSG00000056481,22.1.1,CD248,ENSG00000174807,CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219],endothelial_cell_apoptotic_process
23,CDH5,ENSMUSG00000031871,23.1.1,CDH5,ENSG00000179776,cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764],endothelial_cell_apoptotic_process
24,COL4A3,ENSMUSG00000079465,24.1.1,COL4A3,ENSG00000169031,collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204],endothelial_cell_apoptotic_process
25,COL18A1,ENSMUSG00000001435,25.1.1,COL18A1,ENSG00000182871,collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195],endothelial_cell_apoptotic_process
26,COL18A1,ENSMUSG00000001435,26.1.1,COL18A1,ENSG00000182871,collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195],endothelial_cell_apoptotic_process
27,ECSCR,ENSMUSG00000073599,27.1.1,ECSCR,ENSG00000249751,endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:35454],endothelial_cell_apoptotic_process
28,ECSCR,ENSMUSG00000073599,28.1.1,ECSCR,ENSG00000249751,endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:35454],endothelial_cell_apoptotic_process
29,FASL,ENSMUSG00000000817,29.1.1,FASLG,ENSG00000117560,Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936],endothelial_cell_apoptotic_process
30,FGA,ENSMUSG00000028001,30.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
31,FGA,ENSMUSG00000028001,31.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
32,FGB,ENSMUSG00000033831,32.1.1,FGB,ENSG00000171564,fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662],endothelial_cell_apoptotic_process
33,FGF21,ENSMUSG00000030827,33.1.1,FGF21,ENSG00000105550,fibroblast growth factor 21 [Source:HGNC Symbol;Acc:HGNC:3678],endothelial_cell_apoptotic_process
34,FGG,ENSMUSG00000033860,34.1.1,FGG,ENSG00000171557,fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694],endothelial_cell_apoptotic_process
35,FOXO3,ENSMUSG00000048756,35.1.1,FOXO3,ENSG00000118689,forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821],endothelial_cell_apoptotic_process
35,FOXO3,ENSMUSG00000048756,35.1.2,FOXO3B,ENSG00000240445,forkhead box O3B [Source:HGNC Symbol;Acc:HGNC:3822],endothelial_cell_apoptotic_process
36,GAS6,ENSMUSG00000031451,36.1.1,GAS6,ENSG00000183087,growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168],endothelial_cell_apoptotic_process
37,GATA2,ENSMUSG00000015053,37.1.1,GATA2,ENSG00000179348,GATA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4171],endothelial_cell_apoptotic_process
38,GATA3,ENSMUSG00000015619,38.1.1,GATA3,ENSG00000107485,GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172],endothelial_cell_apoptotic_process
39,GPER1,ENSMUSG00000053647,39.1.1,GPER1,ENSG00000164850,G protein-coupled estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:4485],endothelial_cell_apoptotic_process
40,H2-D1,ENSMUSG00000073411,40.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
41,H2-K1,ENSMUSG00000061232,41.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
42,H2-M2,ENSMUSG00000016283,42.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
43,H2-M3,ENSMUSG00000016206,43.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
44,H2-M5,ENSMUSG00000024459,44.1.1,HLA-F,ENSG00000204642,"major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]",endothelial_cell_apoptotic_process
45,H2-M10.1,ENSMUSG00000024448,45.1.1,HLA-F,ENSG00000204642,"major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]",endothelial_cell_apoptotic_process
46,H2-M10.2,ENSMUSG00000023083,46.1.1,HLA-F,ENSG00000204642,"major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]",endothelial_cell_apoptotic_process
47,H2-M10.4,ENSMUSG00000048231,47.1.1,HLA-F,ENSG00000204642,"major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]",endothelial_cell_apoptotic_process
48,H2-M10.6,ENSMUSG00000037130,48.1.1,HLA-F,ENSG00000204642,"major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]",endothelial_cell_apoptotic_process
49,H2-M11,ENSMUSG00000037537,49.1.1,HLA-F,ENSG00000204642,"major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]",endothelial_cell_apoptotic_process
50,H2-Q1,ENSMUSG00000079507,50.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
51,H2-Q2,ENSMUSG00000091705,51.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
52,H2-Q6,ENSMUSG00000073409,52.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
53,H2-Q7,ENSMUSG00000060550,53.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
54,H2-Q10,ENSMUSG00000067235,54.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
55,H2-T22,ENSMUSG00000056116,55.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
56,H2-T26,N/A,56.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
57,HIPK1,ENSMUSG00000008730,57.1.1,HIPK1,ENSG00000163349,homeodomain interacting protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:19006],endothelial_cell_apoptotic_process
58,ICAM1,ENSMUSG00000037405,58.1.1,ICAM1,ENSG00000090339,intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344],endothelial_cell_apoptotic_process
59,ID1,ENSMUSG00000042745,59.1.1,ID1,ENSG00000125968,inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360],endothelial_cell_apoptotic_process
60,ID1,ENSMUSG00000042745,60.1.1,ID1,ENSG00000125968,inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360],endothelial_cell_apoptotic_process
61,IL4,ENSMUSG00000000869,61.1.1,IL4,ENSG00000113520,interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014],endothelial_cell_apoptotic_process
62,IL4,ENSMUSG00000000869,62.1.1,IL4,ENSG00000113520,interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014],endothelial_cell_apoptotic_process
63,IL10,ENSMUSG00000016529,63.1.1,IL10,ENSG00000136634,interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962],endothelial_cell_apoptotic_process
64,IL13,ENSMUSG00000020383,64.1.1,IL13,ENSG00000169194,interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973],endothelial_cell_apoptotic_process
65,ITGA4,ENSMUSG00000027009,65.1.1,ITGA4,ENSG00000115232,integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140],endothelial_cell_apoptotic_process
66,ITGB3,ENSMUSG00000020689,66.1.1,ITGB3,ENSG00000259207,integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156],endothelial_cell_apoptotic_process
67,KDR,ENSMUSG00000062960,67.1.1,KDR,ENSG00000128052,kinase insert domain receptor [Source:HGNC Symbol;Acc:HGNC:6307],endothelial_cell_apoptotic_process
68,KRIT1,ENSMUSG00000000600,68.1.1,KRIT1,ENSG00000001631,KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573],endothelial_cell_apoptotic_process
69,MAPK7,ENSMUSG00000001034,69.1.1,MAPK7,ENSG00000166484,mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880],endothelial_cell_apoptotic_process
70,NDNF,ENSMUSG00000049001,70.1.1,NDNF,ENSG00000173376,neuron derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:26256],endothelial_cell_apoptotic_process
71,NFE2L2,ENSMUSG00000015839,71.1.1,NFE2L2,ENSG00000116044,NFE2 like bZIP transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:7782],endothelial_cell_apoptotic_process
72,PAK4,ENSMUSG00000030602,72.1.1,PAK4,ENSG00000130669,p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059],endothelial_cell_apoptotic_process
73,PDCD4,ENSMUSG00000024975,73.1.1,PDCD4,ENSG00000150593,programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763],endothelial_cell_apoptotic_process
74,PLCG1,ENSMUSG00000016933,74.1.1,PLCG1,ENSG00000124181,phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065],endothelial_cell_apoptotic_process
75,PRKCI,ENSMUSG00000037643,75.1.1,PRKCI,ENSG00000163558,protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404],endothelial_cell_apoptotic_process
76,RAMP2,ENSMUSG00000001240,76.1.1,RAMP2,ENSG00000131477,receptor activity modifying protein 2 [Source:HGNC Symbol;Acc:HGNC:9844],endothelial_cell_apoptotic_process
77,RAMP2,ENSMUSG00000001240,77.1.1,RAMP2,ENSG00000131477,receptor activity modifying protein 2 [Source:HGNC Symbol;Acc:HGNC:9844],endothelial_cell_apoptotic_process
78,RGCC,ENSMUSG00000022018,78.1.1,RGCC,ENSG00000102760,regulator of cell cycle [Source:HGNC Symbol;Acc:HGNC:20369],endothelial_cell_apoptotic_process
79,SCG2,ENSMUSG00000050711,79.1.1,SCG2,ENSG00000171951,secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575],endothelial_cell_apoptotic_process
80,SEMA5A,ENSMUSG00000022231,80.1.1,SEMA5A,ENSG00000112902,semaphorin 5A [Source:HGNC Symbol;Acc:HGNC:10736],endothelial_cell_apoptotic_process
81,SERPINE1,ENSMUSG00000037411,81.1.1,SERPINE1,ENSG00000106366,serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583],endothelial_cell_apoptotic_process
82,TEK,ENSMUSG00000006386,82.1.1,TEK,ENSG00000120156,TEK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11724],endothelial_cell_apoptotic_process
83,TERT,ENSMUSG00000021611,83.1.1,TERT,ENSG00000164362,telomerase reverse transcriptase [Source:HGNC Symbol;Acc:HGNC:11730],endothelial_cell_apoptotic_process
84,TGFB1,ENSMUSG00000002603,84.1.1,TGFB1,ENSG00000105329,transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766],endothelial_cell_apoptotic_process
85,THBS1,ENSMUSG00000040152,85.1.1,THBS1,ENSG00000137801,thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785],endothelial_cell_apoptotic_process
86,TNF,ENSMUSG00000024401,86.1.1,TNF,ENSG00000232810,tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892],endothelial_cell_apoptotic_process
87,TNF,ENSMUSG00000024401,87.1.1,TNF,ENSG00000232810,tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892],endothelial_cell_apoptotic_process
88,TNFAIP3,ENSMUSG00000019850,88.1.1,TNFAIP3,ENSG00000118503,TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896],endothelial_cell_apoptotic_process
89,TNIP2,ENSMUSG00000059866,89.1.1,TNIP2,ENSG00000168884,TNFAIP3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:19118],endothelial_cell_apoptotic_process
90,XBP1,ENSMUSG00000020484,90.1.1,XBP1,ENSG00000100219,X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801],endothelial_cell_apoptotic_process
